Link,Title,Location,Summary
https://kr.indeed.com/viewjob?jk=f5c40ec89231fd10,음성인식 서버 개발 및 운영 전문가,서울 종로구,"험개발 역량– C/C++, Java, Python, shell script 등 리눅스 환경 실무 개발 가능– 병렬화 및 멀티 쓰레딩– TCP Socket 프로그래밍 인터넷·IT·통신·모바일·게임>응용프로그래머> C·C++|인터..."
https://kr.indeed.com/viewjob?jk=a63bfc0b30f3cbba,"한국문화정보원 2022년도 제직원(육아대체, 한시적비정규직, 전문변호사)",서울,"채용분야 사업관리,법률.경찰.소방.교도.국방,정보통신 고용형태 비정규직 대체인력여부 예 학력정보 학력무관 채용구분 신입+경력 근무지 서울,대전 채용인원 3 우대조건 서류,면접전형 각각 : 국가보훈 대상자(종류에 따라 5점..."
https://kr.indeed.com/viewjob?jk=2b8b9164243592b6,(주)엘솔루 웹 개발자,서울,터넷·IT·통신·모바일·게임>응용프로그래머>DirectX|인터넷·IT·통신·모바일·게임>응용프로그래머>C#|인터넷·IT·통신·모바일·게임>응용프로그래머> C·C++|인터넷·IT·통신·모바일·게임>시스템프로그래머>펌웨어·어셈블러
https://kr.indeed.com/viewjob?jk=59c48a2fdf3a47e7,신입 무역사무원 (1명),서울 강남구,"우대 에이치설퍼 주식회사 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무]- 수출입 서류업무 - L/ C, D/P NEGO- 영업부 업무 지원 및 보조 - 문서 작성 및 관리 [근무부서 및 직급/직책]근무부서: 영업부직..."
https://kr.indeed.com/viewjob?jk=0c067de742005bfc,Associate Software Engineer (AvionX),서울,"Expert in software coding more than 1+ software languages (e.g. C, C++, Python, model based engineering and so on) Proper..."
https://kr.indeed.com/viewjob?jk=f563b1f087b6f1e2,"법인영업 신입/경력 프리랜서, 위촉직",서울 영등포구,니다.S 등급- 평균 연봉 5억이상A 등급- 평균 연봉 2억이상(상위 20%)B 등급- 평균 1억이상(상위 50%) C 등급- 평균 7천이상안녕하세요! 한국기업금융평가원 이훈 지점장입니다. 저는 약 3년전에 세종시에서 1년동안...
https://kr.indeed.com/viewjob?jk=effbbb23f6fae87d,[인재 Pool / 상시 / 신입] R&D 박사,인천 연수구,인터넷·IT·통신·모바일·게임>응용프로그래머> C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머>Linux|인터넷·IT·통신·모바일·게임>응용프로그래머>Python|인터넷·IT·통신·모바일·게임>네트워크·서버·보안...
https://kr.indeed.com/viewjob?jk=f2b1aa19ec45ec4a,"제품 보안 취약점 분석, 모의해킹 Cybersecurity Engineer",서울 서초구,"및 Exploit 코드 분석 - 보안 정적, 동적 분석 기술 연구 및 도구 개발경험(퍼징, 약점/취약점 진단 등) - C, C++, Java, Phython 등 경험 3. 우대사항 - 국내외 해킹방어대회(CTF) 입상 경험..."
https://kr.indeed.com/viewjob?jk=1f14b655a72d5cb8,"리눅스 소프트웨어개발자 (신입, 경력)",서울 종로구,직무내용] * 리눅스 소프트웨어 개발 - Opensource 연동 개발 - 시스템 소프트웨어 개발 : c / c++ - 시스템 연동 웹 프로그래밍 : nodejs / php / shell 스트립트 - 자사 개발 소프트웨어...
https://kr.indeed.com/viewjob?jk=8ce34b6370f693d6,QT UI 개발자,서울,웹디자인>웹UI|인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머>Linux|인터넷·IT·통신·모바일·게임>웹프로그래머...
https://kr.indeed.com/viewjob?jk=22ea89fd02b214bc,남성의류쇼핑몰 파파브로 C/S 정규직 (인바운드 전화상담 및 쇼핑몰관리 등),서울 중구,직무내용] 직무내용 :＊쇼핑몰 C/S 전반적인 업무 (인바운드 전화상담)＊쇼핑몰 Q&A 관리 (고객 질문 답변등)＊송장출력 (주문 접수된건 송장 출력 업무) [근무시간 및 형태] 주 5일 근무 (오전) 8시 30분~(오후...
https://kr.indeed.com/viewjob?jk=4f0115aa29f5fb02,"C· C++, C# 신입 개발자",서울 금천구,"(주)인텔리코리아 C· C++, C# 신입 개발자 채용 모집부문 및 자격요건... 력사항: 대학교(4년)졸업직무기술: VISUALC++, MFC사용언어 : C, C++, C# 6 명 근무조건 고용형태: 정규직(수습기간1개월)근무부서..."
https://kr.indeed.com/viewjob?jk=72c9518a9ab7bbf2,Customer Service Specialist,서울,Job Requisition ID: 241658 Location: Seoul Career Level: C - Professional (1-3 years) Working time model: Careers during...
https://kr.indeed.com/viewjob?jk=2cf2b8f5bd6504fc,Back-end 개발자,서울 서초구,"CentOS7 개발 언어 : Golang, 개발 Platform : Linux CentOS7 우대 사항 : C/C++(필수), Java, Java-Script, RESTful API, Docker, AWS, Azure..."
https://kr.indeed.com/viewjob?jk=3b59647b4e91c20f,Business Development Manager Games / South Korea,서울,"all levels... organization, including executive and C-level Public Speaker (keynotes events) Soft skills: Desire..."
